Admin1Name,PeriodStartDate,PeriodEndDate,CountValue
WISCONSIN,11/21/1948,11/27/1948,164
WISCONSIN,11/28/1948,12/4/1948,270
WISCONSIN,12/5/1948,12/11/1948,304
WISCONSIN,12/12/1948,12/18/1948,173
WISCONSIN,12/19/1948,12/25/1948,195
WISCONSIN,12/26/1948,1/1/1949,169
WISCONSIN,1/2/1949,1/8/1949,335
WISCONSIN,1/9/1949,1/15/1949,426
WISCONSIN,1/16/1949,1/22/1949,511
WISCONSIN,1/23/1949,1/29/1949,583
WISCONSIN,1/30/1949,2/5/1949,721
WISCONSIN,2/6/1949,2/12/1949,698
WISCONSIN,2/13/1949,2/19/1949,789
WISCONSIN,2/20/1949,2/26/1949,818
WISCONSIN,2/27/1949,3/5/1949,846
WISCONSIN,3/6/1949,3/12/1949,940
WISCONSIN,3/13/1949,3/19/1949,1425
WISCONSIN,3/20/1949,3/26/1949,1700
WISCONSIN,3/27/1949,4/2/1949,1951
WISCONSIN,4/3/1949,4/9/1949,2075
WISCONSIN,4/10/1949,4/16/1949,1934
WISCONSIN,4/17/1949,4/23/1949,1889
WISCONSIN,4/24/1949,4/30/1949,2004
WISCONSIN,5/1/1949,5/7/1949,2115
WISCONSIN,5/8/1949,5/14/1949,2151
WISCONSIN,5/15/1949,5/21/1949,2163
WISCONSIN,5/22/1949,5/28/1949,1983
WISCONSIN,5/29/1949,6/4/1949,2032
WISCONSIN,6/5/1949,6/11/1949,2210
WISCONSIN,6/12/1949,6/18/1949,1722
WISCONSIN,6/19/1949,6/25/1949,1380
WISCONSIN,6/26/1949,7/2/1949,1229
WISCONSIN,7/3/1949,7/9/1949,765
WISCONSIN,7/10/1949,7/16/1949,532
WISCONSIN,7/17/1949,7/23/1949,344
WISCONSIN,7/24/1949,7/30/1949,214
WISCONSIN,7/31/1949,8/6/1949,161
WISCONSIN,8/7/1949,8/13/1949,82
WISCONSIN,8/14/1949,8/20/1949,50
WISCONSIN,8/21/1949,8/27/1949,52
WISCONSIN,8/28/1949,9/3/1949,28
WISCONSIN,9/4/1949,9/10/1949,36
WISCONSIN,9/11/1949,9/17/1949,35
WISCONSIN,9/18/1949,9/24/1949,70
WISCONSIN,9/25/1949,10/1/1949,38
WISCONSIN,10/2/1949,10/8/1949,61
WISCONSIN,10/9/1949,10/15/1949,33
WISCONSIN,10/16/1949,10/22/1949,59
WISCONSIN,10/23/1949,10/29/1949,27
WISCONSIN,10/30/1949,11/5/1949,34
WISCONSIN,11/6/1949,11/12/1949,30
WISCONSIN,11/13/1949,11/19/1949,60
WISCONSIN,11/20/1949,11/26/1949,43
WISCONSIN,11/27/1949,12/3/1949,63
WISCONSIN,12/4/1949,12/10/1949,48
WISCONSIN,12/11/1949,12/17/1949,73
WISCONSIN,12/18/1949,12/24/1949,44
WISCONSIN,12/25/1949,12/31/1949,100
WISCONSIN,1/1/1950,1/7/1950,99
WISCONSIN,1/8/1950,1/14/1950,233
WISCONSIN,1/15/1950,1/21/1950,164
WISCONSIN,1/22/1950,1/28/1950,157
WISCONSIN,1/29/1950,2/4/1950,205
WISCONSIN,2/5/1950,2/11/1950,190
WISCONSIN,2/12/1950,2/18/1950,275
WISCONSIN,2/19/1950,2/25/1950,306
WISCONSIN,2/26/1950,3/4/1950,334
WISCONSIN,3/5/1950,3/11/1950,529
WISCONSIN,3/12/1950,3/18/1950,492
WISCONSIN,3/19/1950,3/25/1950,580
WISCONSIN,3/26/1950,4/1/1950,449
WISCONSIN,4/2/1950,4/8/1950,527
WISCONSIN,4/9/1950,4/15/1950,487
WISCONSIN,4/16/1950,4/22/1950,578
WISCONSIN,4/23/1950,4/29/1950,735
WISCONSIN,4/30/1950,5/6/1950,590
WISCONSIN,5/7/1950,5/13/1950,765
WISCONSIN,5/14/1950,5/20/1950,949
WISCONSIN,5/21/1950,5/27/1950,833
WISCONSIN,5/28/1950,6/3/1950,871
WISCONSIN,6/4/1950,6/10/1950,1029
WISCONSIN,6/11/1950,6/17/1950,1048
WISCONSIN,6/18/1950,6/24/1950,788
WISCONSIN,6/25/1950,7/1/1950,768
WISCONSIN,7/2/1950,7/8/1950,564
WISCONSIN,7/9/1950,7/15/1950,471
WISCONSIN,7/16/1950,7/22/1950,378
WISCONSIN,7/23/1950,7/29/1950,284
WISCONSIN,7/30/1950,8/5/1950,266
WISCONSIN,8/6/1950,8/12/1950,118
WISCONSIN,8/13/1950,8/19/1950,117
WISCONSIN,8/20/1950,8/26/1950,83
WISCONSIN,8/27/1950,9/2/1950,55
WISCONSIN,9/3/1950,9/9/1950,55
WISCONSIN,9/10/1950,9/16/1950,45
WISCONSIN,9/17/1950,9/23/1950,54
WISCONSIN,9/24/1950,9/30/1950,77
WISCONSIN,10/1/1950,10/7/1950,93
WISCONSIN,10/8/1950,10/14/1950,80
WISCONSIN,10/15/1950,10/21/1950,104
WISCONSIN,10/22/1950,10/28/1950,127
WISCONSIN,10/29/1950,11/4/1950,114
WISCONSIN,11/5/1950,11/11/1950,178
WISCONSIN,11/12/1950,11/18/1950,197
WISCONSIN,11/19/1950,11/25/1950,389
WISCONSIN,11/26/1950,12/2/1950,228
WISCONSIN,12/3/1950,12/9/1950,334
WISCONSIN,12/10/1950,12/16/1950,287
WISCONSIN,12/17/1950,12/23/1950,387
WISCONSIN,12/24/1950,12/30/1950,320
WISCONSIN,12/31/1950,1/6/1951,470
WISCONSIN,1/7/1951,1/13/1951,611
WISCONSIN,1/14/1951,1/20/1951,718
WISCONSIN,1/21/1951,1/27/1951,712
WISCONSIN,1/28/1951,2/3/1951,1077
WISCONSIN,2/4/1951,2/10/1951,880
WISCONSIN,2/11/1951,2/17/1951,901
WISCONSIN,2/18/1951,2/24/1951,736
WISCONSIN,2/25/1951,3/3/1951,876
WISCONSIN,3/4/1951,3/10/1951,919
WISCONSIN,3/11/1951,3/17/1951,784
WISCONSIN,3/18/1951,3/24/1951,966
WISCONSIN,3/25/1951,3/31/1951,899
WISCONSIN,4/1/1951,4/7/1951,1105
WISCONSIN,4/8/1951,4/14/1951,1306
WISCONSIN,4/15/1951,4/21/1951,1228
WISCONSIN,4/22/1951,4/28/1951,1376
WISCONSIN,4/29/1951,5/5/1951,1612
WISCONSIN,5/6/1951,5/12/1951,1864
WISCONSIN,5/13/1951,5/19/1951,1825
WISCONSIN,5/20/1951,5/26/1951,1889
WISCONSIN,5/27/1951,6/2/1951,1980
WISCONSIN,6/3/1951,6/9/1951,1090
WISCONSIN,6/10/1951,6/16/1951,1698
WISCONSIN,6/17/1951,6/23/1951,1238
WISCONSIN,7/1/1951,7/7/1951,910
WISCONSIN,7/8/1951,7/14/1951,669
WISCONSIN,7/15/1951,7/21/1951,548
WISCONSIN,7/22/1951,7/28/1951,369
WISCONSIN,7/29/1951,8/4/1951,284
WISCONSIN,8/5/1951,8/11/1951,198
WISCONSIN,8/12/1951,8/18/1951,125
WISCONSIN,8/19/1951,8/25/1951,79
WISCONSIN,8/26/1951,9/1/1951,54
WISCONSIN,9/2/1951,9/8/1951,70
WISCONSIN,9/9/1951,9/15/1951,73
WISCONSIN,9/16/1951,9/22/1951,59
WISCONSIN,9/23/1951,9/29/1951,60
WISCONSIN,9/30/1951,10/6/1951,51
WISCONSIN,10/7/1951,10/13/1951,73
WISCONSIN,10/14/1951,10/20/1951,65
WISCONSIN,10/21/1951,10/27/1951,78
WISCONSIN,10/28/1951,11/3/1951,66
WISCONSIN,11/4/1951,11/10/1951,46
WISCONSIN,11/11/1951,11/17/1951,43
WISCONSIN,11/18/1951,11/24/1951,54
WISCONSIN,11/25/1951,12/1/1951,112
WISCONSIN,12/2/1951,12/8/1951,102
WISCONSIN,12/30/1951,1/5/1952,191
WISCONSIN,1/6/1952,1/12/1952,386
WISCONSIN,1/13/1952,1/19/1952,460
WISCONSIN,1/20/1952,1/26/1952,316
WISCONSIN,1/27/1952,2/2/1952,506
WISCONSIN,2/3/1952,2/9/1952,600
WISCONSIN,2/10/1952,2/16/1952,479
WISCONSIN,2/17/1952,2/23/1952,883
WISCONSIN,3/2/1952,3/8/1952,887
WISCONSIN,3/9/1952,3/15/1952,1121
WISCONSIN,3/16/1952,3/22/1952,1211
WISCONSIN,3/23/1952,3/29/1952,1456
WISCONSIN,3/30/1952,4/5/1952,1463
WISCONSIN,4/6/1952,4/12/1952,1467
WISCONSIN,4/13/1952,4/19/1952,1844
WISCONSIN,4/20/1952,4/26/1952,1958
WISCONSIN,5/4/1952,5/10/1952,2464
WISCONSIN,5/11/1952,5/17/1952,1482
WISCONSIN,5/18/1952,5/24/1952,5225
WISCONSIN,5/25/1952,5/31/1952,2475
WISCONSIN,6/8/1952,6/14/1952,2461
WISCONSIN,6/15/1952,6/21/1952,2050
WISCONSIN,6/22/1952,6/28/1952,1809
WISCONSIN,6/29/1952,7/5/1952,1258
WISCONSIN,7/6/1952,7/12/1952,804
WISCONSIN,7/13/1952,7/19/1952,811
WISCONSIN,7/20/1952,7/26/1952,441
WISCONSIN,7/27/1952,8/2/1952,350
WISCONSIN,8/3/1952,8/9/1952,214
WISCONSIN,8/10/1952,8/16/1952,106
WISCONSIN,8/17/1952,8/23/1952,100
WISCONSIN,8/24/1952,8/30/1952,68
WISCONSIN,8/31/1952,9/6/1952,109
WISCONSIN,9/7/1952,9/13/1952,62
WISCONSIN,9/14/1952,9/20/1952,54
WISCONSIN,9/21/1952,9/27/1952,100
WISCONSIN,9/28/1952,10/4/1952,78
WISCONSIN,10/5/1952,10/11/1952,73
WISCONSIN,10/12/1952,10/18/1952,100
WISCONSIN,10/19/1952,10/25/1952,162
WISCONSIN,10/26/1952,11/1/1952,206
WISCONSIN,11/2/1952,11/8/1952,255
WISCONSIN,11/9/1952,11/15/1952,282
WISCONSIN,11/16/1952,11/22/1952,280
WISCONSIN,11/23/1952,11/29/1952,428
WISCONSIN,11/30/1952,12/6/1952,446
WISCONSIN,12/7/1952,12/13/1952,451
WISCONSIN,12/14/1952,12/20/1952,667
WISCONSIN,12/21/1952,12/27/1952,623
WISCONSIN,1/4/1953,1/10/1953,7
WISCONSIN,1/11/1953,1/17/1953,1387
WISCONSIN,1/18/1953,1/24/1953,1272
WISCONSIN,1/25/1953,1/31/1953,1376
WISCONSIN,2/1/1953,2/7/1953,1278
WISCONSIN,2/8/1953,2/14/1953,1162
WISCONSIN,2/15/1953,2/21/1953,1229
WISCONSIN,2/22/1953,2/28/1953,1215
WISCONSIN,3/1/1953,3/7/1953,1465
WISCONSIN,3/8/1953,3/14/1953,1562
WISCONSIN,3/15/1953,3/21/1953,1896
WISCONSIN,3/22/1953,3/28/1953,2162
WISCONSIN,3/29/1953,4/4/1953,2102
WISCONSIN,4/5/1953,4/11/1953,2234
WISCONSIN,4/12/1953,4/18/1953,2239
WISCONSIN,4/19/1953,4/25/1953,2087
WISCONSIN,4/26/1953,5/2/1953,2231
WISCONSIN,5/3/1953,5/9/1953,1798
WISCONSIN,5/10/1953,5/16/1953,1911
WISCONSIN,5/17/1953,5/23/1953,1915
WISCONSIN,5/24/1953,5/30/1953,1563
WISCONSIN,5/31/1953,6/6/1953,1523
WISCONSIN,6/7/1953,6/13/1953,1109
WISCONSIN,6/14/1953,6/20/1953,1006
WISCONSIN,6/21/1953,6/27/1953,787
WISCONSIN,6/28/1953,7/4/1953,587
WISCONSIN,7/5/1953,7/11/1953,364
WISCONSIN,7/12/1953,7/18/1953,332
WISCONSIN,7/19/1953,7/25/1953,227
WISCONSIN,7/26/1953,8/1/1953,162
WISCONSIN,8/2/1953,8/8/1953,150
WISCONSIN,8/9/1953,8/15/1953,83
WISCONSIN,8/16/1953,8/22/1953,85
WISCONSIN,8/23/1953,8/29/1953,56
WISCONSIN,8/30/1953,9/5/1953,66
WISCONSIN,9/6/1953,9/12/1953,46
WISCONSIN,9/13/1953,9/19/1953,40
WISCONSIN,9/20/1953,9/26/1953,49
WISCONSIN,9/27/1953,10/3/1953,53
WISCONSIN,10/4/1953,10/10/1953,26
WISCONSIN,10/11/1953,10/17/1953,54
WISCONSIN,10/18/1953,10/24/1953,29
WISCONSIN,10/25/1953,10/31/1953,38
WISCONSIN,11/1/1953,11/7/1953,101
WISCONSIN,11/8/1953,11/14/1953,24
